t,v1,v2,v3,v4
8.372,0.589375,0.5835,0.5845,1.4285
8.416,0.586625,0.584625,0.58475,1.205625
8.46,0.586,0.585,0.584625,1.101375
8.507,0.586125,0.585,0.58525,1.581
8.551,0.586,0.5855,0.585125,1.733125
8.595,0.586125,0.585125,0.58525,1.7055
8.639,0.58625,0.584875,0.585125,1.744
8.683,0.586125,0.58475,0.585,1.81075
8.726,0.586375,0.585125,0.584625,1.815875
8.77,0.58575,0.585875,0.5875,3.104375
8.814,0.58725,0.587,0.58575,1.558625
8.858,0.5855,0.584625,0.58475,1.43775
8.902,0.586125,0.585,0.58425,1.164875
8.946,0.586125,0.585125,0.585,1.396875
8.99,0.585875,0.5855,0.585375,1.7675
9.034,0.585875,0.58525,0.58525,1.70675
9.078,0.58625,0.58525,0.58475,1.73275
9.122,0.58625,0.58525,0.585,1.793625
9.165,0.586,0.585625,0.585,1.8885
9.209,0.585875,0.585625,0.583375,1.4495
9.253,0.586875,0.587375,0.586875,1.7605
9.297,0.589375,0.584625,0.583875,1.607625
9.341,0.586625,0.58525,0.584625,1.43275
9.385,0.585875,0.58525,0.584625,1.296625
9.429,0.585875,0.5855,0.585375,1.6755
9.473,0.5865,0.585375,0.585375,1.876625
9.517,0.586375,0.585125,0.585,1.85025
9.561,0.586125,0.584875,0.58475,1.881125
9.605,0.586375,0.58525,0.584625,1.83925
9.649,0.5865,0.585,0.584875,1.925125
9.693,0.586375,0.58475,0.5865,3.0075
9.737,0.58725,0.584875,0.584125,1.605875
9.781,0.586,0.58525,0.58475,1.482125
9.824,0.586125,0.58525,0.584375,1.2575
9.868,0.585875,0.58525,0.584625,1.362
9.912,0.585625,0.5855,0.585,1.661875
9.956,0.586,0.585,0.58525,1.705875
10.0,0.58625,0.58475,0.585,1.7015
10.044,0.58625,0.585,0.584625,1.710875
10.088,0.585875,0.585125,0.584875,1.75825
10.132,0.58625,0.5855,0.585375,1.47775
10.176,0.58575,0.585375,0.58675,2.355
10.22,0.58625,0.584125,0.58375,1.553375
10.264,0.5865,0.5855,0.584625,1.4515
10.308,0.585875,0.58525,0.584375,1.32825
10.352,0.586125,0.585,0.58475,1.49725
10.396,0.585875,0.585375,0.585125,1.671
10.44,0.586375,0.585,0.585375,1.695625
10.484,0.586125,0.58525,0.584875,1.746375
10.53,0.586125,0.585125,0.584875,1.685625
10.574,0.58625,0.585375,0.58525,1.7825
10.618,0.58625,0.584625,0.583125,1.664125
10.662,0.58675,0.585875,0.58575,1.661875
10.706,0.5865,0.58475,0.584625,1.59275
10.75,0.586125,0.584875,0.584375,1.45175
10.794,0.586125,0.585,0.585,1.4065
10.838,0.585875,0.58525,0.58525,1.55675
10.882,0.585875,0.5855,0.585375,1.683125
10.926,0.586,0.585125,0.584875,1.717125
10.97,0.58625,0.5855,0.58475,1.753625
11.013,0.586,0.584875,0.58525,1.80225
11.057,0.5865,0.58525,0.58525,1.764875
11.101,0.586,0.58525,0.586875,2.974875
11.145,0.586875,0.584875,0.5845,1.518375
11.189,0.58625,0.585375,0.584125,1.3345
11.233,0.585875,0.585375,0.584375,1.09175
11.277,0.585875,0.58525,0.585125,1.25375
11.321,0.586125,0.585375,0.5855,1.594875
11.365,0.585875,0.58475,0.585125,1.642375
11.409,0.585875,0.585125,0.584625,1.630375
11.453,0.58625,0.5855,0.584875,1.650625
11.497,0.586,0.585,0.5855,1.767875
11.541,0.58625,0.584875,0.58375,1.512125
11.585,0.586625,0.587,0.58625,1.70675
11.629,0.588875,0.584625,0.58375,1.412125
11.672,0.5865,0.585375,0.5845,1.205375
11.716,0.586,0.585,0.584375,1.0435
11.76,0.585875,0.58525,0.585375,1.416875
11.804,0.58625,0.5855,0.5855,1.6605
11.848,0.585875,0.585625,0.584875,1.63025
11.892,0.586125,0.585625,0.585,1.682875
11.936,0.586375,0.585,0.585,1.752875
11.98,0.58625,0.585,0.585375,1.80625
12.024,0.586,0.585625,0.58775,3.20675
12.067,0.587375,0.585625,0.586625,1.497625
12.111,0.585875,0.58525,0.584625,1.326875
12.155,0.586125,0.5845,0.584625,1.042625
12.199,0.586125,0.58475,0.584875,1.24225
12.243,0.585875,0.585375,0.585625,1.681125
12.287,0.586125,0.58525,0.585,1.733375
12.331,0.586,0.584875,0.5845,1.7175
12.375,0.586375,0.585375,0.585375,1.722875
12.419,0.58625,0.585125,0.585375,1.805875
12.463,0.5865,0.58475,0.58425,2.374625
12.507,0.588625,0.588375,0.5855,1.584375
