Time (s) Z (um)	Deflection (V)
0.19772	-0.9211	-0.854213
0.19848	-0.9224	-0.85696
0.19924	-0.9237	-0.854823
0.2	-0.925	-0.849025
0.20076	-0.9263	-0.851161
0.20152	-0.9276	-0.851772
0.20228	-0.9289	-0.852992
0.20304	-0.9302	-0.84872
0.2038	-0.9315	-0.848415
0.20456	-0.9328	-0.850246
0.20532	-0.9341	-0.846583
0.20608	-0.9354	-0.84994
0.20684	-0.9367	-0.84933
0.2076	-0.938	-0.851466
0.20836	-0.9393	-0.853298
0.20912	-0.9406	-0.854213
0.20988	-0.9419	-0.854823
0.21064	-0.9432	-0.854213
0.2114	-0.9445	-0.851466
0.21216	-0.9458	-0.850856
0.21292	-0.9471	-0.854518
0.21368	-0.9484	-0.856044
0.21444	-0.9497	-0.84933
0.2152	-0.951	-0.850856
0.21596	-0.9523	-0.852382
0.21672	-0.9536	-0.84933
0.21748	-0.9549	-0.851161
0.21824	-0.9562	-0.84994
0.219	-0.9575	-0.842921
0.21976	-0.9588	-0.849025
0.22052	-0.9601	-0.852077
0.22128	-0.9614	-0.852382
0.22204	-0.9627	-0.853298
0.2228	-0.964	-0.858791
0.22356	-0.9653	-0.85696
0.22432	-0.9666	-0.853298
0.22508	-0.9679	-0.852992
0.22584	-0.9692	-0.856655
0.2266	-0.9705	-0.849635
0.22736	-0.9718	-0.857875
0.22812	-0.9731	-0.852992
0.22888	-0.9744	-0.852382
0.22964	-0.9757	-0.84994
0.2304	-0.977	-0.850856
0.23116	-0.9783	-0.849025
0.23192	-0.9796	-0.84872
0.23268	-0.9809	-0.853908
0.23344	-0.9822	-0.854518
0.2342	-0.9835	-0.856655
0.23496	-0.9848	-0.854823
0.23572	-0.9861	-0.852687
0.23648	-0.9874	-0.852382
0.23724	-0.9887	-0.846583
0.238	-0.99	-0.848415
0.23876	-0.9913	-0.853603
0.23952	-0.9926	-0.850856
0.24028	-0.9939	-0.855434
0.24104	-0.9952	-0.856044
0.2418	-0.9965	-0.84872
0.24256	-0.9978	-0.852077
0.24332	-0.9991	-0.850246
0.24408	-1.0004	-0.849025
0.24484	-1.0017	-0.853603
0.2456	-1.003	-0.855739
0.24636	-1.0043	-0.853603
0.24712	-1.0056	-0.851466
0.24788	-1.0069	-0.855739
0.24864	-1.0082	-0.854213
0.2494	-1.0095	-0.853603
0.25016	-1.0108	-0.855129
0.25092	-1.0121	-0.856655
0.25168	-1.0134	-0.852992
0.25244	-1.0147	-0.850856
0.2532	-1.016	-0.849635
0.25396	-1.0173	-0.858486
0.25472	-1.0186	-0.855434
0.25548	-1.0199	-0.851466
0.25624	-1.0212	-0.851466
0.257	-1.0225	-0.854518
0.25776	-1.0238	-0.853603
0.25852	-1.0251	-0.853603
0.25928	-1.0264	-0.851466
0.26004	-1.0277	-0.854823
0.2608	-1.029	-0.861538
0.26156	-1.0303	-0.850551
0.26232	-1.0316	-0.852077
0.26308	-1.0329	-0.852992
0.26384	-1.0342	-0.84872
0.2646	-1.0355	-0.847499
0.26536	-1.0368	-0.84933
0.26612	-1.0381	-0.844142
0.26688	-1.0394	-0.846889
0.26764	-1.0407	-0.856044
0.2684	-1.042	-0.857875
0.26916	-1.0433	-0.856044
0.26992	-1.0446	-0.853908
0.27068	-1.0459	-0.853908
0.27144	-1.0472	-0.847499
0.2722	-1.0485	-0.84933
0.27296	-1.0498	-0.84933
0.27372	-1.0511	-0.850246
0.27448	-1.0524	-0.851466
0.27524	-1.0537	-0.84994
0.276	-1.055	-0.849635
0.27676	-1.0563	-0.854213
0.27752	-1.0576	-0.854823
0.27828	-1.0589	-0.846278
0.27904	-1.0602	-0.843532
0.2798	-1.0615	-0.846889
0.28056	-1.0628	-0.851772
0.28132	-1.0641	-0.847804
0.28208	-1.0654	-0.849025
0.28284	-1.0667	-0.848415
0.2836	-1.068	-0.852382
0.28436	-1.0693	-0.854213
0.28512	-1.0706	-0.855434
0.28588	-1.0719	-0.851466
0.28664	-1.0732	-0.852992
0.2874	-1.0745	-0.850246
0.28816	-1.0758	-0.853908
0.28892	-1.0771	-0.847499
0.28968	-1.0784	-0.846889
0.29044	-1.0797	-0.84872
0.2912	-1.081	-0.850246
0.29196	-1.0823	-0.855434
0.29272	-1.0836	-0.851772
0.29348	-1.0849	-0.845668
0.29424	-1.0862	-0.843532
0.295	-1.0875	-0.851466
0.29576	-1.0888	-0.851466
0.29652	-1.0901	-0.853603
0.29728	-1.0914	-0.84872
0.29804	-1.0927	-0.847804
0.2988	-1.094	-0.846278
0.29956	-1.0953	-0.849025
0.30032	-1.0966	-0.849635
0.30108	-1.0979	-0.848415
0.30184	-1.0992	-0.846278
0.3026	-1.1005	-0.845363
0.30336	-1.1018	-0.848109
